
咪咕频道,#group#
//咪咕开始
央视,#genre#
CCTV1综合,http://129.150.55.255:31905/608807420
CCTV2财经,http://129.150.55.255:31905/631780532
CCTV3综艺,http://129.150.55.255:31905/624878271
CCTV4中文国际,http://129.150.55.255:31905/631780421
CCTV5体育,http://129.150.55.255:31905/641886683
CCTV5+体育赛事,http://129.150.55.255:31905/641886773
CCTV6电影,http://129.150.55.255:31905/624878396
CCTV7国防军事,http://129.150.55.255:31905/673168121
CCTV8电视剧,http://129.150.55.255:31905/624878356
CCTV9纪录,http://129.150.55.255:31905/673168140
CCTV10科教,http://129.150.55.255:31905/624878405
CCTV11戏曲,http://129.150.55.255:31905/667987558
CCTV12社会与法,http://129.150.55.255:31905/673168185
CCTV13新闻,http://129.150.55.255:31905/608807423
CCTV14少儿,http://129.150.55.255:31905/624878440
CCTV15音乐,http://129.150.55.255:31905/673168223
CCTV17农业农村,http://129.150.55.255:31905/673168256
CCTV4欧洲,http://129.150.55.255:31905/608807419
CCTV4美洲,http://129.150.55.255:31905/608807416
CGTN外语纪录,http://129.150.55.255:31905/609006487
CGTN阿拉伯语,http://129.150.55.255:31905/609154345
CGTN西班牙语,http://129.150.55.255:31905/609006450
CGTN法语,http://129.150.55.255:31905/609006476
CGTN俄语,http://129.150.55.255:31905/609006446
老故事,http://129.150.55.255:31905/884121956
发现之旅,http://129.150.55.255:31905/624878970
中学生,http://129.150.55.255:31905/708869532
CGTN,http://129.150.55.255:31905/609017205
卫视,#genre#
东方卫视,http://129.150.55.255:31905/651632648
江苏卫视,http://129.150.55.255:31905/623899368
广东卫视,http://129.150.55.255:31905/608831231
北京卫视,http://129.150.55.255:31905/630287636
辽宁卫视,http://129.150.55.255:31905/630291707
河北卫视,http://129.150.55.255:31905/962042070
江西卫视,http://129.150.55.255:31905/783847495
河南卫视,http://129.150.55.255:31905/790187291
陕西卫视,http://129.150.55.255:31905/738910838
大湾区卫视,http://129.150.55.255:31905/608917627
湖北卫视,http://129.150.55.255:31905/947472496
吉林卫视,http://129.150.55.255:31905/947472500
青海卫视,http://129.150.55.255:31905/947472506
东南卫视,http://129.150.55.255:31905/849116810
海南卫视,http://129.150.55.255:31905/947472502
海峡卫视,http://129.150.55.255:31905/849119120
中国农林卫视,http://129.150.55.255:31905/956904896
兵团卫视,http://129.150.55.255:31905/956923145
宁夏卫视,http://129.150.55.255:31905/738910535
重庆卫视,http://129.150.55.255:31905/738910914
三沙卫视,http://129.150.55.255:31905/961023778
黑龙江卫视,http://129.150.55.255:31905/738906901
地方,#genre#
上海新闻综合,http://129.150.55.255:31905/651632657
上视东方影视,http://129.150.55.255:31905/617290047
上海第一财经,http://129.150.55.255:31905/608780988
南京新闻综合频道,http://129.150.55.255:31905/838109047
南京教科频道,http://129.150.55.255:31905/838153729
南京十八频道,http://129.150.55.255:31905/838151753
体育休闲频道,http://129.150.55.255:31905/626064707
江苏城市频道,http://129.150.55.255:31905/626064714
江苏国际,http://129.150.55.255:31905/626064674
江苏教育,http://129.150.55.255:31905/628008321
江苏影视频道,http://129.150.55.255:31905/626064697
江苏综艺频道,http://129.150.55.255:31905/626065193
公共新闻频道,http://129.150.55.255:31905/626064693
盐城新闻综合,http://129.150.55.255:31905/639731825
淮安新闻综合,http://129.150.55.255:31905/639731826
泰州新闻综合,http://129.150.55.255:31905/639731818
连云港新闻综合,http://129.150.55.255:31905/639731715
宿迁新闻综合,http://129.150.55.255:31905/639731832
徐州新闻综合,http://129.150.55.255:31905/639731747
优漫卡通频道,http://129.150.55.255:31905/626064703
江阴新闻综合,http://129.150.55.255:31905/955227979
南通新闻综合,http://129.150.55.255:31905/955227985
宜兴新闻综合,http://129.150.55.255:31905/955227996
溧水新闻综合,http://129.150.55.255:31905/639737327
陕西银龄频道,http://129.150.55.255:31905/956909362
陕西都市青春频道,http://129.150.55.255:31905/956909358
陕西体育休闲频道,http://129.150.55.255:31905/956909356
陕西秦腔频道,http://129.150.55.255:31905/956909303
陕西新闻资讯频道,http://129.150.55.255:31905/956909289
财富天下,http://129.150.55.255:31905/956923159
镇江新闻综合,http://129.150.55.255:31905/639731783
海南广播电视总台新闻频道,http://129.150.55.255:31905/962067517
海南广播电视总台自贸频道,http://129.150.55.255:31905/962045226
海南广播电视总台社会与法频道,http://129.150.55.255:31905/962045223
海南广播电视总台文旅频道,http://129.150.55.255:31905/962067526
海南广播电视总台少儿频道,http://129.150.55.255:31905/962067523
广东珠江频道,http://129.150.55.255:31905/639731952
影视,#genre#
经典香港电影,http://129.150.55.255:31905/625703337
新片放映厅,http://129.150.55.255:31905/619495952
CHC影迷电影,http://129.150.55.255:31905/952383261
CHC动作电影,http://129.150.55.255:31905/644368714
CHC家庭影院,http://129.150.55.255:31905/644368373
和美乡途轮播台,http://129.150.55.255:31905/713591450
南方影视,http://129.150.55.255:31905/614961829
体育-昨天,#genre#
法甲 里昂VS欧塞尔 全场回放（盛斌） 00:45,http://129.150.55.255:31905/967287711
斯诺克 赵心童VS特鲁姆普 【回放】贾德·特鲁姆普5-1赵心童（朱峰立） 02:00,http://129.150.55.255:31905/967287890
斯诺克 赵心童VS特鲁姆普 【回放】贾德·特鲁姆普5-1赵心童（赛场原声） 02:00,http://129.150.55.255:31905/967289167
斯诺克 赵心童VS特鲁姆普 【回放】亚伦·希尔4-5杰克·琼斯（赛场原声） 02:00,http://129.150.55.255:31905/967290072
英女超 伦敦城雌狮女足VS曼联女足 全场回放（张天翼） 01:45,http://129.150.55.255:31905/967288888
美国网球公开赛 吴易昺VS阿尔卡拉斯 【回放】吴易昺0-3阿尔卡拉斯（李宁、邱超） 01:00,http://129.150.55.255:31905/967288853
美国网球公开赛 吴易昺VS阿尔卡拉斯 【回放】吴易昺0-3阿尔卡拉斯（赛场原声） 01:00,http://129.150.55.255:31905/967288810
女篮世界杯 捷克VS意大利 全场回放（石楷文） 02:05,http://129.150.55.255:31905/967288781
女篮世界杯 捷克VS意大利 全场回放（英文解说） 02:05,http://129.150.55.255:31905/967288899
女篮世界杯 捷克VS意大利 全场回放（赛场原声） 02:05,http://129.150.55.255:31905/967288808
德甲 斯图加特VS科隆 全场回放（李霄） 02:15,http://129.150.55.255:31905/967288571
意甲 热那亚VS科莫 全场回放（刘焕） 02:30,http://129.150.55.255:31905/967288820
英超 伊普斯维奇VS利物浦 全场回放（涂远、鲁靖明、邵凌霄） 02:45,http://129.150.55.255:31905/967289117
