河南酒店源,#genre#
河南都市频道,http://39.150.102.131:19901/tsfile/live/0139_2.m3u8
河南民生频道,http://39.150.102.131:19901/tsfile/live/0139_3.m3u8
河南法制频道,http://39.150.102.131:19901/tsfile/live/0139_4.m3u8
河南乡村,http://39.150.102.131:19901/tsfile/live/0139_12.m3u8
河南电视剧频道,http://39.150.102.131:19901/tsfile/live/0139_5.m3u8
河南新闻频道,http://39.150.102.131:19901/tsfile/live/0139_6.m3u8
河南公共频道,http://39.150.102.131:19901/tsfile/live/0139_7.m3u8
驻马店综合频道1,http://39.150.102.131:19901/tsfile/live/0139_10.m3u8
驻马店公共频道2,http://39.150.102.131:19901/tsfile/live/0121_2.m3u8
驻马店科技频道3,http://39.150.102.131:19901/tsfile/live/0140_2.m3u8
武术世界,http://39.150.102.131:19901/tsfile/live/0139_13.m3u8
华数心动剧场,http://39.150.102.131:19901/tsfile/live/0018_2.m3u8
华数惊惧悬疑,http://39.150.102.131:19901/tsfile/live/0018_4.m3u8
华数热门网大,http://39.150.102.131:19901/tsfile/live/0002_2.m3u8
华数热血抗战,http://39.150.102.131:19901/tsfile/live/0017_12.m3u8
华数剧情,http://39.150.102.131:19901/tsfile/live/0017_5.m3u8

CCTV1-综合,http://39.150.102.131:19901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://39.150.102.131:19901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://39.150.102.131:19901/tsfile/live/0003_1.m3u8
CCTV3-综艺,http://39.150.102.131:19901/tsfile/live/0017_13.m3u8
CCTV4-国际,http://39.150.102.131:19901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://39.150.102.131:19901/tsfile/live/0005_1.m3u8
CCTV5+,http://39.150.102.131:19901/tsfile/live/0017_1.m3u8
CCTV6-电影,http://39.150.102.131:19901/tsfile/live/0006_1.m3u8
CCTV7-国防军事,http://39.150.102.131:19901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://39.150.102.131:19901/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://39.150.102.131:19901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://39.150.102.131:19901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://39.150.102.131:19901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://39.150.102.131:19901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://39.150.102.131:19901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://39.150.102.131:19901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://39.150.102.131:19901/tsfile/live/0015_1.m3u8
CCTV17-农业农村,http://39.150.102.131:19901/tsfile/live/0007_2.m3u8
CETV1,http://39.150.102.131:19901/tsfile/live/0018_3.m3u8
CETV2,http://39.150.102.131:19901/tsfile/live/0017_7.m3u8
CETV4,http://39.150.102.131:19901/tsfile/live/0017_8.m3u8

河南卫视,http://39.150.102.131:19901/tsfile/live/0139_1.m3u8
湖南卫视,http://39.150.102.131:19901/tsfile/live/0128_1.m3u8
江苏卫视,http://39.150.102.131:19901/tsfile/live/0127_1.m3u8
浙江卫视,http://39.150.102.131:19901/tsfile/live/0124_1.m3u8
北京卫视,http://39.150.102.131:19901/tsfile/live/0122_1.m3u8
东方卫视,http://39.150.102.131:19901/tsfile/live/0107_1.m3u8
天津卫视,http://39.150.102.131:19901/tsfile/live/0135_1.m3u8
山东卫视,http://39.150.102.131:19901/tsfile/live/0131_1.m3u8
安徽卫视,http://39.150.102.131:19901/tsfile/live/0130_1.m3u8
深圳卫视,http://39.150.102.131:19901/tsfile/live/0126_1.m3u8
湖北卫视,http://39.150.102.131:19901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://39.150.102.131:19901/tsfile/live/0143_1.m3u8
江西卫视,http://39.150.102.131:19901/tsfile/live/0138_1.m3u8
四川卫视,http://39.150.102.131:19901/tsfile/live/0123_1.m3u8
云南卫视,http://39.150.102.131:19901/tsfile/live/0119_1.m3u8
贵州卫视,http://39.150.102.131:19901/tsfile/live/0120_1.m3u8
辽宁卫视,http://39.150.102.131:19901/tsfile/live/0121_1.m3u8
东南卫视,http://39.150.102.131:19901/tsfile/live/0137_1.m3u8
重庆卫视,http://39.150.102.131:19901/tsfile/live/0142_1.m3u8
广东卫视,http://39.150.102.131:19901/tsfile/live/0125_1.m3u8
广西卫视,http://39.150.102.131:19901/tsfile/live/0113_1.m3u8
河北卫视,http://39.150.102.131:19901/tsfile/live/0117_1.m3u8
吉林卫视,http://39.150.102.131:19901/tsfile/live/0116_1.m3u8
山西卫视,http://39.150.102.131:19901/tsfile/live/0118_1.m3u8
陕西卫视,http://39.150.102.131:19901/tsfile/live/0136_1.m3u8
甘肃卫视,http://39.150.102.131:19901/tsfile/live/0141_1.m3u8
宁夏卫视,http://39.150.102.131:19901/tsfile/live/0112_1.m3u8
青海卫视,http://39.150.102.131:19901/tsfile/live/0140_1.m3u8
内蒙古卫视,http://39.150.102.131:19901/tsfile/live/0109_1.m3u8
西藏卫视,http://39.150.102.131:19901/tsfile/live/0111_1.m3u8
新疆卫视,http://39.150.102.131:19901/tsfile/live/0110_1.m3u8
兵团卫视,http://39.150.102.131:19901/tsfile/live/0017_6.m3u8
山东教育卫视,http://39.150.102.131:19901/tsfile/live/0017_9.m3u8

IPTV电影,http://39.150.102.131:19901/tsfile/live/0016_1.m3u8
IPTV相声小品,http://39.150.102.131:19901/tsfile/live/0018_5.m3u8
IPTV野外,http://39.150.102.131:19901/tsfile/live/0017_15.m3u8
IPTV3+,http://39.150.102.131:19901/tsfile/live/0017_10.m3u8
IPTV5+,http://39.150.102.131:19901/tsfile/live/0017_11.m3u8
IPTV6+,http://39.150.102.131:19901/tsfile/live/0017_3.m3u8
IPTV8+,http://39.150.102.131:19901/tsfile/live/0017_14.m3u8
金鹰卡通,http://39.150.102.131:19901/tsfile/live/0018_1.m3u8
卡酷动画,http://39.150.102.131:19901/tsfile/live/0017_4.m3u8
嘉佳卡通,http://39.150.102.131:19901/tsfile/live/0017_24.m3u8
国学频道,http://39.150.102.131:19901/tsfile/live/0139_9.m3u8
金鹰纪实,http://39.150.102.131:19901/tsfile/live/0017_16.m3u8


38.75专属,#genre#
