💎港台💎,#genre#
鳳凰中文,http://49.232.143.177:80/pyxg/export.php?id=1&key=****
鳳凰資訊,http://49.232.143.177:80/pyxg/export.php?id=2&key=****
鳳凰香港,http://49.232.143.177:80/pyxg/export.php?id=3&key=****
翡翠台,http://49.232.143.177:80/pyxg/export.php?id=4&key=****
TVBPlus,http://49.232.143.177:80/pyxg/export.php?id=5&key=****
無綫新聞,http://49.232.143.177:80/pyxg/export.php?id=6&key=****
明珠台,http://49.232.143.177:80/pyxg/export.php?id=7&key=****
ViUTV,http://49.232.143.177:80/pyxg/export.php?id=8&key=****
ViUTVSix,http://49.232.143.177:80/pyxg/export.php?id=9&key=****
HOYTV,http://49.232.143.177:80/pyxg/export.php?id=10&key=****
HOY 資訊台,http://49.232.143.177:80/pyxg/export.php?id=11&key=****
HOY 財經台,http://49.232.143.177:80/pyxg/export.php?id=12&key=****
18 台,http://49.232.143.177:80/pyxg/export.php?id=13&key=****
Now 新聞台,http://49.232.143.177:80/pyxg/export.php?id=14&key=****
Now 財經台,http://49.232.143.177:80/pyxg/export.php?id=15&key=****
TVB 星河,http://49.232.143.177:80/pyxg/export.php?id=16&key=****
功夫台,http://49.232.143.177:80/pyxg/export.php?id=17&key=****
天映經典,http://49.232.143.177:80/pyxg/export.php?id=18&key=****
美亚电影台,http://49.232.143.177:80/pyxg/export.php?id=19&key=****
POPC,http://49.232.143.177:80/pyxg/export.php?id=20&key=****
中國電影,http://49.232.143.177:80/pyxg/export.php?id=21&key=****
中視,http://49.232.143.177:80/pyxg/export.php?id=22&key=****
華視,http://49.232.143.177:80/pyxg/export.php?id=23&key=****
民視,http://49.232.143.177:80/pyxg/export.php?id=24&key=****
民視台灣,http://49.232.143.177:80/pyxg/export.php?id=25&key=****
民視第一,http://49.232.143.177:80/pyxg/export.php?id=26&key=****
台視,http://49.232.143.177:80/pyxg/export.php?id=27&key=****
台視綜合,http://49.232.143.177:80/pyxg/export.php?id=28&key=****
公視,http://49.232.143.177:80/pyxg/export.php?id=29&key=****
中天綜合,http://49.232.143.177:80/pyxg/export.php?id=30&key=****
八大綜合,http://49.232.143.177:80/pyxg/export.php?id=31&key=****
八大第一,http://49.232.143.177:80/pyxg/export.php?id=32&key=****
東森綜合,http://49.232.143.177:80/pyxg/export.php?id=33&key=****
东森電影,http://49.232.143.177:80/pyxg/export.php?id=34&key=****
緯來電影,http://49.232.143.177:80/pyxg/export.php?id=35&key=****
三立都會,http://49.232.143.177:80/pyxg/export.php?id=36&key=****
三立台灣,http://49.232.143.177:80/pyxg/export.php?id=37&key=****
龍華偶像,http://49.232.143.177:80/pyxg/export.php?id=38&key=****
龍華電影,http://49.232.143.177:80/pyxg/export.php?id=39&key=****
龍華經典,http://49.232.143.177:80/pyxg/export.php?id=40&key=****
龍翔時代,http://49.232.143.177:80/pyxg/export.php?id=41&key=****
好萊塢電影,http://49.232.143.177:80/pyxg/export.php?id=42&key=****
TvbS,http://49.232.143.177:80/pyxg/export.php?id=43&key=****
中天新聞,http://49.232.143.177:80/pyxg/export.php?id=44&key=****
東森新聞,http://49.232.143.177:80/pyxg/export.php?id=45&key=****
環宇新聞,http://49.232.143.177:80/pyxg/export.php?id=46&key=****
華視新聞,http://49.232.143.177:80/pyxg/export.php?id=47&key=****
中視新聞,http://49.232.143.177:80/pyxg/export.php?id=48&key=****
台視新聞,http://49.232.143.177:80/pyxg/export.php?id=49&key=****
民視新聞,http://49.232.143.177:80/pyxg/export.php?id=50&key=****
TVBS 新聞,http://49.232.143.177:80/pyxg/export.php?id=51&key=****
三立新聞,http://49.232.143.177:80/pyxg/export.php?id=52&key=****
年代新聞,http://49.232.143.177:80/pyxg/export.php?id=53&key=****
壹新聞,http://49.232.143.177:80/pyxg/export.php?id=54&key=****
非凡新聞,http://49.232.143.177:80/pyxg/export.php?id=55&key=****
鏡新聞,http://49.232.143.177:80/pyxg/export.php?id=56&key=****
環宇台灣,http://49.232.143.177:80/pyxg/export.php?id=57&key=****
緯來體育,http://49.232.143.177:80/pyxg/export.php?id=58&key=****
NBATV,http://49.232.143.177:80/pyxg/export.php?id=59&key=****
